panel,comparison_label,strain,contrast,orthofinder_orthogroup,OG_gene_symbol,logFC,FDR,minus_log10_FDR,is_deg_by_threshold,DEG_direction,module_for_plot,label_for_plot
a,55 MPa Droplet vs Droplet 0.1 MPa,Aequorivita,D55_vs_D0,OG0000000,bapA,-0.729929198479895,0.0016620066387278,2.779367245800348,False,not_DEG,Other,bapA
a,55 MPa Droplet vs Droplet 0.1 MPa,Aequorivita,D55_vs_D0,OG0000001,ofaB,0.25634583463102,0.175533589444877,0.755639766293618,False,not_DEG,Other,ofaB
a,55 MPa Droplet vs Droplet 0.1 MPa,Aequorivita,D55_vs_D0,OG0000003,cysB,-1.43089560713954,1.41948493901476e-05,4.847869211054631,True,down,Other,cysB
a,55 MPa Droplet vs Droplet 0.1 MPa,Aequorivita,D55_vs_D0,OG0000004,kdpD,0.374966108663381,0.147749294730542,0.8304745835117825,False,not_DEG,Other,kdpD
a,55 MPa Droplet vs Droplet 0.1 MPa,Aequorivita,D55_vs_D0,OG0000011,xerD,-1.16404160125506,0.0016416630984178,2.784715963848962,True,down,Other,xerD
a,55 MPa Droplet vs Droplet 0.1 MPa,Aequorivita,D55_vs_D0,OG0000012,mexL,-0.174356286230348,0.447332134749084,0.3493699025362188,False,not_DEG,Other,mexL
a,55 MPa Droplet vs Droplet 0.1 MPa,Aequorivita,D55_vs_D0,OG0000014,susC,-0.238415097964638,0.258095267363253,0.5882199589465158,False,not_DEG,Other,susC
a,55 MPa Droplet vs Droplet 0.1 MPa,Aequorivita,D55_vs_D0,OG0000015,potA,0.382349643995493,0.0066418769381611,2.177709175345987,False,not_DEG,Other,potA
a,55 MPa Droplet vs Droplet 0.1 MPa,Aequorivita,D55_vs_D0,OG0000016,adh,-0.112091009962876,0.380590313603014,0.4195422691291167,False,not_DEG,Other,adh
a,55 MPa Droplet vs Droplet 0.1 MPa,Aequorivita,D55_vs_D0,OG0000017,mltD,-0.356611605909808,0.115922918691722,0.9358306927909216,False,not_DEG,Other,mltD
a,55 MPa Droplet vs Droplet 0.1 MPa,Aequorivita,D55_vs_D0,OG0000018,ampC,-0.0101116305016938,0.942493389675417,0.0257216871036628,False,not_DEG,Other,ampC
a,55 MPa Droplet vs Droplet 0.1 MPa,Aequorivita,D55_vs_D0,OG0000020,aglI,-0.0818692469810336,0.485383436770418,0.3139150476207734,False,not_DEG,Other,aglI
a,55 MPa Droplet vs Droplet 0.1 MPa,Aequorivita,D55_vs_D0,OG0000021,prpR,1.72778522615653,0.0035260140867088,2.452715956991978,True,up,Membrane maintenance,prpR
a,55 MPa Droplet vs Droplet 0.1 MPa,Aequorivita,D55_vs_D0,OG0000023,chpA,-0.116125916444765,0.658455394968915,0.181473639646752,False,not_DEG,Other,chpA
a,55 MPa Droplet vs Droplet 0.1 MPa,Aequorivita,D55_vs_D0,OG0000024,uspE,-0.306247258949641,0.519417076593107,0.2844837764082094,False,not_DEG,Other,uspE
a,55 MPa Droplet vs Droplet 0.1 MPa,Aequorivita,D55_vs_D0,OG0000025,ccmG,-0.321067768056622,0.0127536859204068,1.894364282402375,False,not_DEG,Other,ccmG
a,55 MPa Droplet vs Droplet 0.1 MPa,Aequorivita,D55_vs_D0,OG0000026,lrp,-1.16512495169216,4.34404019380752e-05,4.362106165033377,True,down,Other,lrp
a,55 MPa Droplet vs Droplet 0.1 MPa,Aequorivita,D55_vs_D0,OG0000028,pnbA,0.0281054448340716,0.93673110983054,0.0283850561515151,False,not_DEG,Other,pnbA
a,55 MPa Droplet vs Droplet 0.1 MPa,Aequorivita,D55_vs_D0,OG0000030,barA,-0.528053862492616,0.0022285816965122,2.651971440691961,False,not_DEG,Other,barA
a,55 MPa Droplet vs Droplet 0.1 MPa,Aequorivita,D55_vs_D0,OG0000031,phoP,-1.41085200692674,2.93073280204384e-05,4.533023774836091,True,down,Membrane maintenance,phoP
a,55 MPa Droplet vs Droplet 0.1 MPa,Aequorivita,D55_vs_D0,OG0000032,slyA,-0.155778103695142,0.542190725710473,0.2658479153929602,False,not_DEG,Other,slyA
